Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1805,EFG International,Diversified Financials,Switzerland,870.0,190,13020.0,4950.0
2009,1910,EFG International,Diversified Financials,Switzerland,890.0,210,17710.0,1120.0
2010,1640,EFG International,Banking,Switzerland,1640.0,210,17730.0,2020.0
2013,1979,EFG International,Banking,Switzerland,1270.0,121.2,25776.0,2096.0
2017,1554,EFG International,Banking,Switzerland,1070.0,344.4,41638.0,1748.0
2018,1813,EFG International,Banking,Switzerland,1569.0,-60.8,42702.0,2331.0
2019,1867,EFG International,Banking,Switzerland,1559.0,72.0,40739.0,2169.0
2020,1941,EFG International,Banking,Switzerland,1634.0,94.8,42324.0,1812.0
2021,1987,EFG International,Banking,Switzerland,1563.0,122.8,45972.0,2523.0
2022,1989,EFG International,Banking,Switzerland,1788.0,225.1,46253.0,2323.0
