Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2012,1492,E mart,Retailing,South Korea,6882.0,263.9,9644.0,6286.0
2013,1219,E mart,Retailing,South Korea,11267.0,377.0,11520.0,5357.0
2014,1155,E mart,Retailing,South Korea,11907.0,426.8,12367.0,6317.0
2015,1532,E mart,Retailing,South Korea,12496.0,275.5,12580.0,5920.0
2016,1320,E mart,Retailing,South Korea,12052.0,401.8,12361.0,4375.0
2017,1446,E mart,Retailing,South Korea,12737.0,324.3,12774.0,5539.0
2018,1224,E mart,Retailing,South Korea,14044.0,541.9,15008.0,6801.0
2019,1432,E mart,Retailing,South Korea,15492.0,397.0,15015.0,4276.0
2020,1503,E mart,Retailing,South Korea,16346.0,194.5,18241.0,2656.0
2021,1395,E mart,Retailing,South Korea,18674.0,288.8,20566.0,4106.0
2022,897,E mart,Retailing,South Korea,21772.0,1354.3,26281.0,3083.0
