Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2009,230,Ecopetrol,Oil & Gas Operations,Colombia,15420.0,5290,22160.0,33380.0
2010,222,Ecopetrol,Oil & Gas Operations,Colombia,14260.0,2400,27200.0,54140.0
2011,179,Ecopetrol,Oil & Gas Operations,Colombia,21858.0,4243.0,35817.0,84435.0
2012,137,Ecopetrol,Oil & Gas Operations,Colombia,35618.0,8370.6,47602.0,119731.0
2013,114,Ecopetrol,Oil & Gas Operations,Colombia,38970.0,8365.0,64448.0,116217.0
2014,128,Ecopetrol,Oil & Gas Operations,Colombia,37669.0,7010.0,68545.0,83574.0
2015,198,Ecopetrol,Oil & Gas Operations,Colombia,34430.0,3751.6,59828.0,33609.0
2016,698,Ecopetrol,Oil & Gas Operations,Colombia,18945.0,-1450.3,38745.0,19984.0
2017,559,Ecopetrol,Oil & Gas Operations,Colombia,15638.0,512.7,40409.0,19658.0
2018,300,Ecopetrol,Oil & Gas Operations,Colombia,19351.0,2844.0,42451.0,45702.0
2019,300,Ecopetrol,Oil & Gas Operations,Colombia,21866.0,3909.0,38873.0,39455.0
2020,313,Ecopetrol,Oil & Gas Operations,Colombia,22104.0,4036.8,41276.0,21924.0
2021,633,Ecopetrol,Oil & Gas Operations,Colombia,13751.0,456.7,40759.0,26284.0
2022,296,Ecopetrol,Oil & Gas Operations,Colombia,23426.0,4453.5,60012.0,36074.0
