Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,492,Eletrobras,Utilities,Brazil,9200.0,540,56620.0,18080.0
2009,312,Eletrobras,Utilities,Brazil,12610.0,870,66860.0,12300.0
2010,235,Eletrobras,Utilities,Brazil,13110.0,2680,58000.0,15950.0
2011,614,Eletrobras,Utilities,Brazil,14950.0,97.8,76281.0,20512.0
2012,320,Eletrobras,Utilities,Brazil,17961.0,1354.2,86800.0,14377.0
2013,935,Eletrobras,Utilities,Brazil,17506.0,-3535.0,84100.0,4958.0
2014,1060,Eletrobras,Utilities,Brazil,15303.0,-2924.4,58657.0,4520.0
2015,1094,Eletrobras,Utilities,Brazil,13851.0,-1291.3,54644.0,2664.0
2016,1248,Eletrobras,Utilities,Brazil,9756.0,-4323.4,37825.0,3277.0
2017,610,Eletrobras,Utilities,Brazil,17427.0,983.0,52386.0,7195.0
2018,1120,Eletrobras,Utilities,Brazil,11898.0,-552.6,52147.0,7135.0
2019,657,Eletrobras,Utilities,Brazil,6877.0,3638.0,46755.0,11084.0
2020,722,Eletrobras,Utilities,Brazil,7028.0,2711.7,44116.0,8069.0
2021,959,Eletrobras,Utilities,Brazil,5638.0,1229.0,34455.0,10140.0
2022,1002,Eletrobras,Utilities,Brazil,6971.0,1046.0,33416.0,13416.0
