Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,642,FCC,Construction,Spain,12510.0,710,24590.0,7700.0
2009,623,FCC,Construction,Spain,19520.0,470,27860.0,3230.0
2010,658,FCC,Construction,Spain,17710.0,430,30470.0,4020.0
2011,871,FCC,Construction,Spain,16217.0,403.3,28683.0,3833.0
2012,1187,FCC,Construction,Spain,15226.0,140.0,28435.0,3010.0
2013,1233,FCC,Construction,Spain,14713.0,-1070.0,25077.0,1290.0
2014,1470,FCC,Construction,Spain,8930.0,-1999.8,21499.0,2856.0
2015,1620,FCC,Construction,Spain,8402.0,-960.7,16968.0,3246.0
2016,1812,FCC,Construction,Spain,7181.0,-51.3,13972.0,3242.0
2022,1965,FCC,Construction,Spain,7871.0,685.8,16196.0,5067.0
