Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,705,Fairfax Financial,Insurance,Canada,8010.0,1170,27600.0,5410.0
2009,536,Fairfax Financial,Insurance,Canada,7980.0,1470,27310.0,4260.0
2010,565,Fairfax Financial,Insurance,Canada,6640.0,860,28400.0,7450.0
2011,801,Fairfax Financial,Insurance,Canada,6164.0,469.0,31738.0,7695.0
2012,1009,Fairfax Financial,Insurance,Canada,7475.0,45.1,33407.0,8583.0
2013,775,Fairfax Financial,Insurance,Canada,8023.0,532.4,36941.0,8192.0
2014,1136,Fairfax Financial,Insurance,Canada,5848.0,-580.7,35959.0,9776.0
2015,567,Fairfax Financial,Insurance,Canada,9912.0,1622.2,36131.0,12436.0
2016,605,Fairfax Financial,Insurance,Canada,11072.0,586.3,41529.0,13761.0
2017,941,Fairfax Financial,Insurance,Canada,10334.0,-525.8,43384.0,11203.0
2018,419,Fairfax Financial,Insurance,Canada,14949.0,2327.7,65013.0,16432.0
2019,766,Fairfax Financial,Insurance,Canada,18170.0,351.0,64372.0,13694.0
2020,503,Fairfax Financial,Insurance,Canada,20713.0,2005.8,70508.0,7495.0
2021,825,Fairfax Financial,Insurance,Canada,19253.0,202.4,74054.0,12296.0
2022,437,Fairfax Financial,Insurance,Canada,23569.0,3391.7,74555.0,13284.0
