Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,446,Fifth Third Bancorp,Banking,United States,8490.0,1080,110960.0,12200.0
2009,1071,Fifth Third Bancorp,Banking,United States,8550.0,-2110,119760.0,1220.0
2010,387,Fifth Third Bancorp,Banking,United States,9450.0,740,113380.0,9730.0
2011,492,Fifth Third Bancorp,Banking,United States,7218.0,753.0,111007.0,12747.0
2012,482,Fifth Third Bancorp,Banking,United States,6672.0,1298.0,116967.0,13181.0
2013,452,Fifth Third Bancorp,Banking,United States,7106.0,1576.0,121894.0,14653.0
2014,447,Fifth Third Bancorp,Banking,United States,6177.0,1823.0,131466.0,19652.0
2015,545,Fifth Third Bancorp,Banking,United States,6079.0,1468.0,139632.0,15473.0
2016,456,Fifth Third Bancorp,Banking,United States,6815.0,1667.0,142430.0,14594.0
2017,453,Fifth Third Bancorp,Banking,United States,6701.0,1550.0,142177.0,18773.0
2018,424,Fifth Third Bancorp,Banking,United States,7790.0,2567.0,141500.0,23293.0
