Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2010,1981,First Pacific,"Food, Drink & Tobacco",Hong Kong/China,4120.0,200,7160.0,2130.0
2011,1705,First Pacific,Banking,Hong Kong-China,3924.0,401.5,9339.0,3152.0
2012,1297,First Pacific,Diversified Financials,Hong Kong-China,5694.0,602.0,12503.0,4492.0
2013,1424,First Pacific,Diversified Financials,Hong Kong-China,5991.0,349.0,13880.0,5275.0
2014,1869,First Pacific,Diversified Financials,Hong Kong,6206.0,235.0,15583.0,4386.0
2015,1754,First Pacific,Diversified Financials,Hong Kong,6841.0,81.0,16989.0,4286.0
2016,1750,First Pacific,Diversified Financials,Hong Kong,6437.0,85.1,17593.0,2661.0
2017,1762,First Pacific,Diversified Financials,Hong Kong,6779.0,103.3,17215.0,3284.0
2018,1754,First Pacific,Diversified Financials,Hong Kong,7297.0,120.6,20454.0,2223.0
2019,1746,First Pacific,Diversified Financials,Hong Kong,7742.0,132.0,20902.0,1714.0
2020,1790,First Pacific,Diversified Financials,Hong Kong,8055.0,-253.9,21882.0,901.0
2021,1826,First Pacific,Diversified Financials,Hong Kong,7131.0,201.6,26944.0,1452.0
2022,1770,First Pacific,Diversified Financials,Hong Kong,9104.0,334.7,26567.0,1782.0
