Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1557,First Quantum Minerals,Materials,Canada,1650.0,560,2680.0,6350.0
2012,1459,First Quantum Minerals,Diversified Metals & Mining,Canada,2584.0,528.9,5298.0,9494.0
2013,1159,First Quantum Minerals,Diversified Metals & Mining,Canada,2950.0,1773.0,7536.0,10160.0
2014,1253,First Quantum Minerals,Diversified Metals & Mining,Canada,3552.0,459.4,15471.0,10655.0
2015,1235,First Quantum Minerals,Diversified Metals & Mining,Canada,3539.0,844.0,17824.0,7780.0
2017,1874,First Quantum Minerals,Diversified Metals & Mining,Canada,2677.0,-56.8,19483.0,7367.0
2018,1632,First Quantum Minerals,Diversified Metals & Mining,Canada,3994.0,-155.0,22143.0,11231.0
2019,1586,First Quantum Minerals,Materials,Canada,4075.0,444.0,23537.0,8213.0
2021,1582,First Quantum Minerals,Materials,Canada,5211.0,-185.8,24236.0,15736.0
2022,995,First Quantum Minerals,Materials,Canada,8286.0,833.4,25270.0,19432.0
