Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,532,Ford Motor,Consumer Durables,United States,172460.0,-2720,279260.0,14410.0
2009,549,Ford Motor,Consumer Durables,United States,146280.0,-14670,218330.0,4790.0
2010,58,Ford Motor,Consumer Durables,United States,118310.0,2720,194850.0,41800.0
2011,54,Ford Motor,Consumer Durables,United States,128954.0,6561.0,164687.0,54320.0
2012,44,Ford Motor,Consumer Durables,United States,136264.0,20213.0,178348.0,47547.0
2013,53,Ford Motor,Consumer Durables,United States,134252.0,5665.0,190554.0,51801.0
2014,47,Ford Motor,Consumer Durables,United States,146917.0,7155.0,202026.0,64505.0
2015,69,Ford Motor,Consumer Durables,United States,144077.0,3187.0,208527.0,63598.0
2016,40,Ford Motor,Consumer Durables,United States,149558.0,7373.0,224925.0,54196.0
2017,64,Ford Motor,Consumer Durables,United States,151800.0,4596.0,237951.0,44718.0
2018,67,Ford Motor,Consumer Durables,United States,159589.0,7751.0,267230.0,44593.0
2019,110,Ford Motor,Consumer Durables,United States,160338.0,3677.0,256540.0,38101.0
2020,486,Ford Motor,Consumer Durables,United States,149878.0,-3092.0,264150.0,20244.0
2021,392,Ford Motor,Consumer Durables,United States,127144.0,-1279.0,267261.0,48812.0
2022,60,Ford Motor,Consumer Durables,Canada,136341.0,17937.0,257035.0,60805.0
