Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,428,Formosa Petrochemical,Oil & Gas Operations,Taiwan,16310.0,1360,13470.0,26030.0
2009,322,Formosa Petrochemical,Oil & Gas Operations,Taiwan,21620.0,2150,15150.0,15220.0
2010,429,Formosa Petrochemical,Oil & Gas Operations,Taiwan,26670.0,460,13030.0,24160.0
2011,435,Formosa Petrochemical,Oil & Gas Operations,Taiwan,19869.0,1225.2,13902.0,28209.0
2012,476,Formosa Petrochemical,Oil & Gas Operations,Taiwan,27232.0,765.5,14478.0,30111.0
2013,764,Formosa Petrochemical,Oil & Gas Operations,Taiwan,30247.0,92.0,15389.0,26483.0
2014,495,Formosa Petrochemical,Oil & Gas Operations,Taiwan,31390.0,745.6,17323.0,24304.0
2015,807,Formosa Petrochemical,Oil & Gas Operations,Taiwan,30132.0,299.2,14969.0,20927.0
2016,507,Formosa Petrochemical,Oil & Gas Operations,Taiwan,19825.0,1489.6,12953.0,26713.0
2017,466,Formosa Petrochemical,Oil & Gas Operations,Taiwan,16935.0,2349.2,14036.0,33596.0
2018,478,Formosa Petrochemical,Oil & Gas Operations,Taiwan,21399.0,2529.6,16029.0,40173.0
2019,539,Formosa Petrochemical,Oil & Gas Operations,Taiwan,25454.0,1993.0,13201.0,35368.0
2020,607,Formosa Petrochemical,Oil & Gas Operations,Taiwan,20898.0,1190.4,13278.0,28735.0
2021,687,Formosa Petrochemical,Oil & Gas Operations,Taiwan,14097.0,955.6,13557.0,34286.0
2022,640,Formosa Petrochemical,Oil & Gas Operations,Taiwan,22199.0,1768.6,16581.0,29956.0
