Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,637,Franklin Resources,Diversified Financials,United States,6460.0,1860,9670.0,22490.0
2009,728,Franklin Resources,Diversified Financials,United States,5320.0,1190,8990.0,10670.0
2010,669,Franklin Resources,Diversified Financials,United States,4600.0,1130,9220.0,23470.0
2011,590,Franklin Resources,Diversified Financials,United States,6176.0,1591.2,12392.0,26993.0
2012,581,Franklin Resources,Diversified Financials,United States,7142.0,1903.2,13405.0,27092.0
2013,584,Franklin Resources,Diversified Financials,United States,7301.0,1966.7,14354.0,31858.0
2014,561,Franklin Resources,Diversified Financials,United States,8235.0,2223.7,15909.0,34331.0
2015,566,Franklin Resources,Diversified Financials,United States,8535.0,2332.4,16297.0,32068.0
2016,601,Franklin Resources,Diversified Financials,United States,7683.0,1905.1,16156.0,24103.0
2017,687,Franklin Resources,Diversified Financials,United States,6463.0,1707.8,16210.0,23619.0
2018,968,Franklin Resources,Diversified Financials,United States,6652.0,673.5,17690.0,17967.0
2019,919,Franklin Resources,Diversified Financials,United States,5983.0,1602.0,13951.0,17986.0
2020,1200,Franklin Resources,Diversified Financials,United States,5534.0,971.2,14666.0,9362.0
2021,1026,Franklin Resources,Diversified Financials,United States,5818.0,767.5,21230.0,15187.0
2022,866,Franklin Resources,Diversified Financials,United States,8722.0,1856.4,24995.0,13251.0
