Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,542,Freddie Mac,Diversified Financials,United States,43100.0,-3090,794370.0,16270.0
2009,952,Freddie Mac,Diversified Financials,United States,12300.0,-50120,850960.0,270.0
2010,830,Freddie Mac,Diversified Financials,United States,37610.0,-21550,841780.0,750.0
2011,796,Freddie Mac,Diversified Financials,United States,98368.0,-14025.0,2261780.0,1340.0
2012,810,Freddie Mac,Diversified Financials,United States,88262.0,-5266.0,2147216.0,1034.0
2013,372,Freddie Mac,Diversified Financials,United States,80635.0,10982.0,1989856.0,1314.0
2014,377,Freddie Mac,Diversified Financials,United States,62218.0,48655.0,1981785.0,2581.0
2015,377,Freddie Mac,Diversified Financials,United States,70903.0,7690.0,1945539.0,1580.0
2016,367,Freddie Mac,Diversified Financials,United States,66484.0,6376.0,1986050.0,1047.0
2017,355,Freddie Mac,Diversified Financials,United States,69843.0,7815.0,2023376.0,1534.0
2018,387,Freddie Mac,Diversified Financials,United States,73514.0,6340.0,2022483.0,858.0
2019,367,Freddie Mac,Business Services & Supplies,United States,70671.0,9235.0,2063060.0,1671.0
2020,340,Freddie Mac,Business Services & Supplies,United States,79345.0,7214.0,2203623.0,1060.0
2021,318,Freddie Mac,Business Services & Supplies,United States,68693.0,7326.0,2627415.0,1534.0
2022,363,Freddie Mac,Business Services & Supplies,United States,62238.0,12109.0,3025586.0,488.0
