Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,528,Fresenius,Health Care Equipment & Services,Germany,16580.0,600,22370.0,13100.0
2009,497,Fresenius,Health Care Equipment & Services,Germany,18050.0,400,28660.0,7780.0
2010,367,Fresenius,Health Care Equipment & Services,Germany,20290.0,710,29960.0,11630.0
2011,423,Fresenius,Health Care Equipment & Services,Germany,21382.0,832.7,31630.0,14665.0
2012,390,Fresenius,Health Care Equipment & Services,Germany,21402.0,997.4,33228.0,16632.0
2013,329,Fresenius,Health Care Equipment & Services,Germany,24805.0,1191.0,40467.0,22078.0
2014,303,Fresenius,Health Care Equipment & Services,Germany,26992.0,1342.2,45139.0,27787.0
2015,283,Fresenius,Health Care Equipment & Services,Germany,30815.0,1415.3,48277.0,32800.0
2016,244,Fresenius,Health Care Equipment & Services,Germany,30635.0,1505.9,46896.0,40038.0
2017,228,Fresenius,Health Care Equipment & Services,Germany,32172.0,1762.2,48990.0,43886.0
2018,232,Fresenius,Health Care Equipment & Services,Germany,39318.0,2100.0,65801.0,44086.0
2019,258,Fresenius,Health Care Equipment & Services,Germany,39557.0,2391.0,64820.0,30561.0
2020,240,Fresenius,Health Care Equipment & Services,Germany,39631.0,2107.5,75214.0,23810.0
2021,245,Fresenius,Health Care Equipment & Services,Germany,41355.0,1945.9,81545.0,25422.0
2022,339,Fresenius,Health Care Equipment & Services,Germany,44262.0,2148.8,81835.0,20426.0
