Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,799,Gilead Sciences,Drugs & Biotechnology,United States,4230.0,1620,5830.0,43950.0
2009,660,Gilead Sciences,Drugs & Biotechnology,United States,5340.0,2010,7020.0,40810.0
2010,470,Gilead Sciences,Drugs & Biotechnology,United States,7010.0,2640,9700.0,42760.0
2011,498,Gilead Sciences,Drugs & Biotechnology,United States,7949.0,2901.3,11593.0,32471.0
2012,456,Gilead Sciences,Drugs & Biotechnology,United States,8385.0,2803.6,17303.0,35389.0
2013,392,Gilead Sciences,Drugs & Biotechnology,United States,9703.0,2591.6,21240.0,68446.0
2014,364,Gilead Sciences,Drugs & Biotechnology,United States,11221.0,3074.8,22497.0,113247.0
2015,192,Gilead Sciences,Drugs & Biotechnology,United States,24931.0,12101.3,34664.0,145029.0
2016,118,Gilead Sciences,Drugs & Biotechnology,United States,32170.0,18108.0,51839.0,138078.0
2017,134,Gilead Sciences,Drugs & Biotechnology,United States,30317.0,13501.0,56977.0,87036.0
2018,197,Gilead Sciences,Drugs & Biotechnology,United States,24783.0,3464.0,65381.0,86025.0
2019,199,Gilead Sciences,Drugs & Biotechnology,United States,22214.0,5455.0,63675.0,80255.0
2020,186,Gilead Sciences,Drugs & Biotechnology,United States,22618.0,4962.0,59741.0,105758.0
2021,518,Gilead Sciences,Drugs & Biotechnology,United States,24642.0,123.0,68407.0,84029.0
2022,207,Gilead Sciences,Drugs & Biotechnology,United States,27372.0,6225.0,67952.0,78173.0
