Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2009,1623,Gree Electric Appliances,Consumer Durables,China,5180.0,170,3440.0,3990.0
2010,1138,Gree Electric Appliances,Consumer Durables,China,6170.0,310,4380.0,7160.0
2011,1117,Gree Electric Appliances,Consumer Durables,China,6245.0,426.8,7396.0,9421.0
2012,706,Gree Electric Appliances,Consumer Durables,China,12936.0,811.6,13338.0,9848.0
2013,668,Gree Electric Appliances,Consumer Durables,China,13267.0,832.0,13542.0,13458.0
2014,501,Gree Electric Appliances,Consumer Durables,China,17934.0,1556.0,21151.0,13724.0
2015,385,Gree Electric Appliances,Consumer Durables,China,21185.0,2134.2,25980.0,21558.0
2016,685,Gree Electric Appliances,Consumer Durables,China,19684.0,2294.6,26787.0,
2017,364,Gree Electric Appliances,Consumer Durables,China,15268.0,2113.3,27242.0,27738.0
2018,294,Gree Electric Appliances,Consumer Durables,China,23906.0,3616.6,34707.0,45110.0
2019,260,Gree Electric Appliances,Consumer Durables,China,28493.0,4290.0,35974.0,53383.0
2020,246,Gree Electric Appliances,Consumer Durables,China,28841.0,3556.1,40320.0,46721.0
2021,252,Gree Electric Appliances,Consumer Durables,China,24314.0,2323.0,40264.0,55267.0
2022,358,Gree Electric Appliances,Consumer Durables,China,27881.0,3706.2,44271.0,27818.0
