Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2013,750,Grupo ACS,Construction,Spain,50655.0,-2541.0,51545.0,7694.0
2014,382,Grupo ACS,Construction,Spain,50945.0,932.0,54802.0,12421.0
2015,435,Grupo ACS,Construction,Spain,46268.0,951.2,47580.0,11433.0
2016,474,Grupo ACS,Construction,Spain,38729.0,804.3,38324.0,10225.0
2017,511,Grupo ACS,Construction,Spain,36276.0,830.8,35200.0,11168.0
2018,532,Grupo ACS,Construction,Spain,39363.0,904.6,38282.0,13588.0
2019,489,Grupo ACS,Construction,Spain,43248.0,1079.0,39205.0,14129.0
2020,564,Grupo ACS,Construction,Spain,43706.0,1077.8,43319.0,7564.0
2021,667,Grupo ACS,Construction,Spain,39827.0,654.3,45680.0,9582.0
2022,651,Grupo ACS,Construction,Spain,32903.0,3600.3,41064.0,7034.0
