Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1429,Grupo Aval,Diversified Financials,Colombia,3070.0,270,21920.0,4450.0
2009,1105,Grupo Aval,Diversified Financials,Colombia,4230.0,320,27730.0,2490.0
2010,829,Grupo Aval,Diversified Financials,Colombia,4850.0,340,28310.0,6190.0
2011,707,Grupo Aval,Diversified Financials,Colombia,5801.0,532.6,34712.0,10830.0
2012,798,Grupo Aval,Diversified Financials,Colombia,4792.0,438.7,50976.0,13694.0
2013,652,Grupo Aval,Diversified Financials,Colombia,6083.0,663.7,57450.0,13212.0
2014,553,Grupo Aval,Diversified Financials,Colombia,8957.0,832.7,72037.0,13278.0
2015,622,Grupo Aval,Diversified Financials,Colombia,9010.0,858.7,83610.0,10197.0
2016,656,Grupo Aval,Diversified Financials,Colombia,7454.0,778.9,68834.0,8997.0
2017,693,Grupo Aval,Diversified Financials,Colombia,8468.0,701.0,74716.0,9209.0
2018,774,Grupo Aval,Diversified Financials,Colombia,10273.0,694.0,79781.0,9519.0
2019,672,Grupo Aval,Diversified Financials,Colombia,11342.0,985.0,79962.0,9067.0
2020,711,Grupo Aval,Diversified Financials,Colombia,11133.0,924.4,84971.0,6310.0
2021,815,Grupo Aval,Diversified Financials,Colombia,10289.0,635.7,94400.0,7255.0
2022,987,Grupo Aval,Diversified Financials,Colombia,10273.0,879.7,90148.0,4783.0
