Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1312,Grupo Bimbo,"Food, Drink & Tobacco",Mexico,6620.0,350,4050.0,6380.0
2009,1338,Grupo Bimbo,"Food, Drink & Tobacco",Mexico,5960.0,310,4120.0,3350.0
2010,841,Grupo Bimbo,"Food, Drink & Tobacco",Mexico,8640.0,440,7410.0,8810.0
2011,974,Grupo Bimbo,"Food, Drink & Tobacco",Mexico,9481.0,436.5,7794.0,9537.0
2012,1006,Grupo Bimbo,"Food, Drink & Tobacco",Mexico,9583.0,381.9,9500.0,10941.0
2013,1106,Grupo Bimbo,"Food, Drink & Tobacco",Mexico,13456.0,158.0,10133.0,13043.0
2014,1027,Grupo Bimbo,"Food, Drink & Tobacco",Mexico,13846.0,334.5,10286.0,12761.0
2015,1068,Grupo Bimbo,"Food, Drink & Tobacco",Mexico,14187.0,286.8,12016.0,14042.0
2016,986,Grupo Bimbo,"Food, Drink & Tobacco",Mexico,13770.0,329.0,11559.0,13492.0
2017,1092,Grupo Bimbo,"Food, Drink & Tobacco",Mexico,13423.0,315.9,11900.0,11835.0
2018,1345,Grupo Bimbo,"Food, Drink & Tobacco",Mexico,14507.0,264.9,13408.0,9737.0
2019,1306,Grupo Bimbo,"Food, Drink & Tobacco",Mexico,14985.0,301.0,13371.0,10071.0
2020,1435,Grupo Bimbo,"Food, Drink & Tobacco",Mexico,15183.0,327.5,14817.0,6834.0
2021,1249,Grupo Bimbo,"Food, Drink & Tobacco",Mexico,15413.0,421.9,15440.0,9423.0
2022,1087,Grupo Bimbo,"Food, Drink & Tobacco",Mexico,17179.0,788.3,16498.0,12326.0
