Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2011,864,Grupo Inbursa,Banking,Mexico,1979.0,631.4,21423.0,14131.0
2012,993,Grupo Inbursa,Banking,Mexico,2827.0,425.7,24395.0,13674.0
2013,818,Grupo Inbursa,Banking,Mexico,3650.0,683.3,26210.0,18522.0
2014,744,Grupo Inbursa,Banking,Mexico,4444.0,1276.2,27502.0,16872.0
2015,794,Grupo Inbursa,Banking,Mexico,3959.0,1359.4,26175.0,17674.0
2016,937,Grupo Inbursa,Banking,Mexico,3214.0,738.5,25763.0,13260.0
2017,1054,Grupo Inbursa,Banking,Mexico,3271.0,665.0,25832.0,11177.0
2018,1073,Grupo Inbursa,Banking,Mexico,4483.0,978.7,28741.0,10356.0
2019,1118,Grupo Inbursa,Banking,Mexico,4050.0,889.0,25866.0,10200.0
2020,1554,Grupo Inbursa,Banking,Mexico,3756.0,671.4,25690.0,4023.0
2021,1603,Grupo Inbursa,Banking,Mexico,3243.0,588.9,26239.0,6276.0
2022,1277,Grupo Inbursa,Banking,Mexico,3451.0,1029.7,27900.0,11277.0
