Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2011,1789,Guangzhou R&F,Real Estate,China,2665.0,424.7,9612.0,4204.0
2012,1406,Guangzhou R&F,Real Estate,China,4349.0,769.0,12990.0,3998.0
2013,1197,Guangzhou R&F,Real Estate,China,4822.0,872.0,15812.0,4817.0
2014,1028,Guangzhou R&F,Real Estate,China,5916.0,1246.4,23183.0,4570.0
2015,1049,Guangzhou R&F,Real Estate,China,5634.0,1063.7,27698.0,3379.0
2016,964,Guangzhou R&F,Real Estate,China,7018.0,996.9,28294.0,4562.0
2017,933,Guangzhou R&F,Real Estate,China,8069.0,1011.6,32580.0,5391.0
2018,725,Guangzhou R&F,Real Estate,China,8827.0,3254.9,45778.0,7775.0
2019,761,Guangzhou R&F,Construction,China,11586.0,1264.0,53337.0,6794.0
2020,720,Guangzhou R&F,Construction,China,13095.0,1396.2,61347.0,4410.0
2021,698,Guangzhou R&F,Construction,China,12548.0,1308.5,67614.0,4829.0
2022,1251,Guangzhou R&F,Construction,China,12407.0,-1381.9,63683.0,1401.0
