Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1093,HDFC Bank,Banking,India,1960.0,270,21090.0,12870.0
2009,864,HDFC Bank,Banking,India,3090.0,400,33100.0,7360.0
2010,632,HDFC Bank,Banking,India,3850.0,440,35980.0,16830.0
2011,589,HDFC Bank,Banking,India,4521.0,670.1,49472.0,22390.0
2012,520,HDFC Bank,Banking,India,5522.0,896.3,62064.0,23686.0
2013,463,HDFC Bank,Banking,India,6517.0,1031.6,66658.0,28071.0
2014,421,HDFC Bank,Banking,India,7893.0,1262.2,75029.0,29649.0
2015,376,HDFC Bank,Banking,India,8413.0,1446.8,84337.0,41612.0
2016,275,HDFC Bank,Banking,India,11372.0,1957.3,97021.0,41505.0
2017,258,HDFC Bank,Banking,India,11362.0,1955.3,110288.0,57414.0
2018,202,HDFC Bank,Banking,India,15721.0,2871.3,169144.0,77596.0
2019,209,HDFC Bank,Banking,India,15745.0,2871.0,169151.0,89939.0
2020,146,HDFC Bank,Banking,India,20741.0,3843.7,208963.0,73146.0
2021,116,HDFC Bank,Banking,India,20677.0,4139.1,233578.0,105918.0
2022,154,HDFC Bank,Banking,India,22507.0,5107.1,280163.0,98275.0
