Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1595,Haitong Securities,Diversified Financials,China,50.0,20,150.0,24600.0
2009,819,Haitong Securities,Diversified Financials,China,1660.0,750,13050.0,13520.0
2010,866,Haitong Securities,Diversified Financials,China,1160.0,480,10950.0,20710.0
2011,959,Haitong Securities,Diversified Financials,China,1454.0,544.4,16458.0,12753.0
2012,1088,Haitong Securities,Diversified Financials,China,1598.0,480.2,15695.0,12493.0
2013,969,Haitong Securities,Diversified Financials,China,1565.0,479.0,20264.0,16730.0
2014,945,Haitong Securities,Diversified Financials,China,2069.0,690.3,22213.0,14423.0
2015,606,Haitong Securities,Diversified Financials,China,3837.0,1251.4,56838.0,39329.0
2016,334,Haitong Securities,Diversified Financials,China,8694.0,2524.6,88772.0,25080.0
2017,510,Haitong Securities,Diversified Financials,China,6264.0,1213.1,80706.0,22872.0
2018,730,Haitong Securities,Diversified Financials,China,4190.0,1224.0,91068.0,19415.0
2019,692,Haitong Securities,Diversified Financials,China,5801.0,792.0,83695.0,21838.1
2020,638,Haitong Securities,Diversified Financials,China,7024.0,1383.2,91418.0,10489.0
2021,703,Haitong Securities,Diversified Financials,China,6511.0,1347.1,96344.0,11686.0
2022,766,Haitong Securities,Diversified Financials,China,7799.0,1986.3,116881.0,9558.0
