Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,355,Halliburton,Oil & Gas Operations,United States,15260.0,3500,13140.0,33710.0
2009,365,Halliburton,Oil & Gas Operations,United States,18280.0,1540,14390.0,14630.0
2010,355,Halliburton,Oil & Gas Operations,United States,14680.0,1150,16540.0,27830.0
2011,331,Halliburton,Oil & Gas Operations,United States,17973.0,1835.0,18297.0,40608.0
2012,286,Halliburton,Oil & Gas Operations,United States,24829.0,2839.0,23677.0,31880.0
2013,261,Halliburton,Oil & Gas Operations,United States,28503.0,2635.0,27410.0,39043.0
2014,268,Halliburton,Oil & Gas Operations,United States,29402.0,2125.0,29223.0,50737.0
2015,254,Halliburton,Oil & Gas Operations,United States,32870.0,3500.0,32240.0,38983.0
2016,623,Halliburton,Oil & Gas Operations,United States,23633.0,-671.0,36942.0,35062.0
2017,716,Halliburton,Oil & Gas Operations,United States,15887.0,-5763.0,27000.0,43069.0
2018,743,Halliburton,Oil & Gas Operations,United States,22081.0,-385.0,25191.0,45796.0
2019,442,Halliburton,Oil & Gas Operations,United States,23995.0,1656.0,25982.0,27169.0
2020,1010,Halliburton,Oil & Gas Operations,United States,21708.0,-2300.0,23622.0,9211.0
2021,1048,Halliburton,Oil & Gas Operations,United States,14445.0,-2945.0,20680.0,18385.0
2022,617,Halliburton,Oil & Gas Operations,United States,16128.0,1550.0,22073.0,33942.0
