Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,964,Harley Davidson,Consumer Durables,United States,6140.0,930,5660.0,8860.0
2009,1141,Harley Davidson,Consumer Durables,United States,5970.0,650,7830.0,2360.0
2010,1487,Harley Davidson,Consumer Durables,United States,4780.0,-60,9160.0,5820.0
2011,1437,Harley Davidson,Consumer Durables,United States,4859.0,146.6,9431.0,9647.0
2012,1307,Harley Davidson,Consumer Durables,United States,3478.0,34.8,24011.0,11384.0
2013,1074,Harley Davidson,Consumer Durables,United States,5581.0,623.9,9171.0,12536.0
2014,1019,Harley Davidson,Consumer Durables,United States,5900.0,734.0,9405.0,15014.0
2015,1054,Harley Davidson,Consumer Durables,United States,6229.0,844.6,9528.0,13000.0
2016,1126,Harley Davidson,Consumer Durables,United States,6072.0,732.8,10468.0,8910.0
2017,1187,Harley Davidson,Consumer Durables,United States,5996.0,692.2,9890.0,10697.0
