Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,473,Heineken Holding,"Food, Drink & Tobacco",Netherlands,18340.0,1180,18440.0,12520.0
2009,740,Heineken Holding,"Food, Drink & Tobacco",Netherlands,19940.0,150,28220.0,5710.0
2010,383,Heineken Holding,"Food, Drink & Tobacco",Netherlands,21060.0,730,28150.0,10270.0
2011,413,Heineken Holding,"Food, Drink & Tobacco",Netherlands,21597.0,963.9,35041.0,13030.0
2012,421,Heineken Holding,"Food, Drink & Tobacco",Netherlands,22180.0,928.8,34600.0,13251.0
2013,299,Heineken Holding,"Food, Drink & Tobacco",Netherlands,24252.0,1949.0,46691.0,18646.0
2014,245,Heineken Holding,"Food, Drink & Tobacco",Netherlands,25494.0,1811.0,45937.0,40293.0
2015,380,Heineken Holding,"Food, Drink & Tobacco",Netherlands,25543.0,1009.7,42868.0,20865.0
2016,292,Heineken Holding,"Food, Drink & Tobacco",Netherlands,22745.0,2098.1,41474.0,23265.0
2017,316,Heineken Holding,"Food, Drink & Tobacco",Netherlands,23000.0,1703.5,42050.0,22966.0
