Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1070,Hellenic Petroleum,Oil & Gas Operations,Greece,12460.0,510,7340.0,4310.0
2009,1424,Hellenic Petroleum,Oil & Gas Operations,Greece,14110.0,30,7150.0,2250.0
2010,1269,Hellenic Petroleum,Oil & Gas Operations,Greece,9680.0,250,8230.0,3400.0
2011,1460,Hellenic Petroleum,Oil & Gas Operations,Greece,11348.0,241.0,9206.0,3122.0
2012,1669,Hellenic Petroleum,Oil & Gas Operations,Greece,12056.0,147.9,9306.0,2138.0
2013,1688,Hellenic Petroleum,Oil & Gas Operations,Greece,13811.0,111.1,9735.0,3251.0
2014,1741,Hellenic Petroleum,Oil & Gas Operations,Greece,12844.0,-357.4,9890.0,3074.0
2015,1848,Hellenic Petroleum,Oil & Gas Operations,Greece,12573.0,-484.5,9341.0,1190.0
2017,1868,Hellenic Petroleum,Oil & Gas Operations,Greece,7389.0,364.9,7582.0,1723.0
2018,1736,Hellenic Petroleum,Oil & Gas Operations,Greece,9022.0,479.4,8598.0,2919.0
