Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,796,Henderson Land,Diversified Financials,Hong Kong/China,1070.0,1260,16980.0,17080.0
2009,713,Henderson Land,Diversified Financials,Hong Kong/China,1730.0,1980,22420.0,7250.0
2010,721,Henderson Land,Diversified Financials,Hong Kong/China,1090.0,710,23550.0,15040.0
2011,766,Henderson Land,Real Estate,Hong Kong-China,1309.0,1231.2,24643.0,13536.0
2012,676,Henderson Land,Real Estate,Hong Kong-China,1956.0,2213.0,33708.0,14252.0
2013,675,Henderson Land,Real Estate,Hong Kong-China,2010.0,2605.0,33881.0,15093.0
2014,692,Henderson Land,Real Estate,Hong Kong,3019.0,2056.0,39222.0,15741.0
2015,663,Henderson Land,Real Estate,Hong Kong,3099.0,2160.2,40875.0,21440.0
2016,624,Henderson Land,Real Estate,Hong Kong,3115.0,2750.8,43389.0,21124.0
2017,627,Henderson Land,Real Estate,Hong Kong,3343.0,2823.3,45852.0,22938.0
2018,607,Henderson Land,Real Estate,Hong Kong,3248.0,3905.3,52651.0,25868.0
2019,593,Henderson Land,Construction,Hong Kong,2838.0,3975.0,56340.0,27967.0
2020,639,Henderson Land,Construction,Hong Kong,3111.0,2168.9,58426.0,19797.0
2021,726,Henderson Land,Construction,Hong Kong,3254.0,1314.1,59466.0,21902.0
2022,769,Henderson Land,Construction,Hong Kong,3073.0,1697.6,70585.0,20395.0
