Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2013,1948,Hikvision,Consumer Durables,China,831.0,235.0,1313.0,12300.0
2014,1572,Hikvision,Consumer Durables,China,1485.0,429.8,1999.0,11449.0
2015,1218,Hikvision,Consumer Durables,China,2772.0,757.2,3432.0,21328.0
2016,1098,Hikvision,Consumer Durables,China,4084.0,938.4,4817.0,19532.0
2017,1014,Hikvision,Consumer Durables,China,4514.0,1063.5,5471.0,28898.0
2018,835,Hikvision,Consumer Durables,China,6617.0,1470.6,7980.0,58238.0
2019,800,Hikvision,Technology Hardware & Equipment,China,7278.0,1629.0,7984.0,47767.0
2020,736,Hikvision,Technology Hardware & Equipment,China,8146.0,1776.2,10304.0,42484.0
2021,609,Hikvision,Technology Hardware & Equipment,China,9148.0,1921.7,13560.0,81690.0
2022,608,Hikvision,Technology Hardware & Equipment,China,12994.0,2635.9,16464.0,59327.0
