Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1205,Hindalco Industries,Materials,India,4410.0,620,6430.0,6220.0
2009,848,Hindalco Industries,Materials,India,14870.0,590,18310.0,1280.0
2010,1005,Hindalco Industries,Materials,India,12730.0,70,12710.0,6690.0
2011,643,Hindalco Industries,Diversified Metals & Mining,India,13507.0,875.8,15422.0,8701.0
2012,827,Hindalco Industries,Diversified Metals & Mining,India,16114.0,551.5,18920.0,5355.0
2013,895,Hindalco Industries,Diversified Metals & Mining,India,15805.0,667.8,19904.0,3392.0
2014,957,Hindalco Industries,Diversified Metals & Mining,India,14645.0,556.2,22660.0,4775.0
2015,1128,Hindalco Industries,Diversified Metals & Mining,India,14434.0,359.9,23642.0,4471.0
2016,1228,Hindalco Industries,Diversified Metals & Mining,India,16934.0,139.7,23492.0,3133.0
2017,1175,Hindalco Industries,Diversified Metals & Mining,India,15185.0,31.1,22001.0,6760.0
2018,1186,Hindalco Industries,Diversified Metals & Mining,India,14940.0,283.3,23717.0,8087.0
2019,875,Hindalco Industries,Materials,India,17816.0,944.0,23656.0,6711.0
2020,965,Hindalco Industries,Materials,India,18608.0,785.7,21473.0,3896.0
2021,1117,Hindalco Industries,Materials,India,16297.0,300.0,25004.0,11185.0
2022,644,Hindalco Industries,Materials,India,24330.0,1596.9,27446.0,15106.0
