Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,511,Hitachi,Technology Hardware & Equipment,Japan,87210.0,-280,88220.0,24460.0
2009,496,Hitachi,Technology Hardware & Equipment,Japan,112490.0,-580,102430.0,8430.0
2010,476,Hitachi,Technology Hardware & Equipment,Japan,102700.0,-8090,93330.0,15110.0
2011,473,Hitachi,Consumer Durables,Japan,95963.0,-1144.5,94581.0,27266.0
2012,129,Hitachi,Consumer Durables,Japan,112069.0,2873.6,109252.0,27157.0
2013,117,Hitachi,Consumer Durables,Japan,116764.0,4194.0,113181.0,28458.0
2014,138,Hitachi,Consumer Durables,Japan,95743.0,2583.8,104720.0,36235.0
2015,148,Hitachi,Consumer Durables,Japan,91259.0,2953.4,102721.0,33491.0
2016,178,Hitachi,Consumer Durables,Japan,84039.0,1977.1,106597.0,23329.0
2017,201,Hitachi,Consumer Durables,Japan,85804.0,1752.8,82653.0,25556.0
2018,149,Hitachi,Consumer Durables,Japan,84530.0,3275.1,95032.0,38516.0
2019,230,Hitachi,Conglomerates,Japan,85814.0,1693.0,88352.0,31760.0
2020,198,Hitachi,Conglomerates,Japan,82944.0,1789.4,94606.0,29285.0
2021,133,Hitachi,Conglomerates,Japan,78694.0,3187.5,105975.0,45945.0
2022,145,Hitachi,Conglomerates,Japan,91896.0,5866.0,116572.0,45785.0
