Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2013,407,Huaxia Bank,Banking,China,10519.0,1465.0,197246.0,11476.0
2014,365,Huaxia Bank,Banking,China,12920.0,2383.6,253481.0,12037.0
2015,273,Huaxia Bank,Banking,China,16235.0,2855.4,290592.0,19209.0
2016,245,Huaxia Bank,Banking,China,16932.0,3007.4,306762.0,16687.0
2017,255,Huaxia Bank,Banking,China,15859.0,2997.8,340888.0,17580.0
2018,289,Huaxia Bank,Banking,China,18673.0,2998.0,404355.0,17206.0
2019,265,Huaxia Bank,Banking,China,19993.0,3074.0,379762.0,20080.0
2020,271,Huaxia Bank,Banking,China,21259.0,3130.5,440093.0,14313.0
2021,263,Huaxia Bank,Banking,China,22937.0,2965.6,489185.0,14814.0
2022,336,Huaxia Bank,Banking,China,26379.0,3587.7,549239.0,13283.0
