Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1641,Hyakugo Bank,Banking,Japan,740.0,80,33960.0,1500.0
2009,1621,Hyakugo Bank,Banking,Japan,910.0,90,40170.0,1370.0
2010,1666,Hyakugo Bank,Banking,Japan,920.0,40,41290.0,1200.0
2011,1672,Hyakugo Bank,Banking,Japan,909.0,60.2,45448.0,1128.0
2012,1653,Hyakugo Bank,Banking,Japan,973.0,89.4,52291.0,1187.0
2013,1690,Hyakugo Bank,Banking,Japan,1029.0,93.9,54830.0,1214.0
2014,1702,Hyakugo Bank,Banking,Japan,814.0,126.4,48137.0,1036.0
2015,1733,Hyakugo Bank,Banking,Japan,738.0,102.4,44194.0,1186.0
2016,1743,Hyakugo Bank,Banking,Japan,668.0,113.9,46033.0,1004.0
2017,1730,Hyakugo Bank,Banking,Japan,610.0,77.7,48188.0,994.0
2018,1750,Hyakugo Bank,Banking,Japan,773.0,106.5,50866.0,1183.0
2019,1712,Hyakugo Bank,Banking,Japan,767.0,85.0,57206.0,819.0
2020,1766,Hyakugo Bank,Banking,Japan,805.0,110.5,60063.0,743.0
2021,1814,Hyakugo Bank,Banking,Japan,819.0,110.3,69659.0,740.0
2022,1783,Hyakugo Bank,Banking,Japan,863.0,131.7,70076.0,677.0
