Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,400,Hyundai Heavy Industries,Capital Goods,South Korea,17840.0,760,20020.0,30880.0
2009,296,Hyundai Heavy Industries,Capital Goods,South Korea,22150.0,1830,26940.0,8800.0
2010,278,Hyundai Heavy Industries,Capital Goods,South Korea,22040.0,1810,30360.0,13530.0
2011,261,Hyundai Heavy Industries,Capital Goods,South Korea,25100.0,1836.8,31277.0,29431.0
2012,226,Hyundai Heavy Industries,Capital Goods,South Korea,45756.0,2208.4,42467.0,22141.0
2013,379,Hyundai Heavy Industries,Capital Goods,South Korea,48828.0,874.2,46320.0,11590.0
2014,620,Hyundai Heavy Industries,Capital Goods,South Korea,49498.0,254.6,50415.0,15269.0
2015,853,Hyundai Heavy Industries,Capital Goods,South Korea,49952.0,-1681.4,48569.0,7061.0
2016,819,Hyundai Heavy Industries,Capital Goods,South Korea,40848.0,-1210.6,42414.0,7670.0
2017,616,Hyundai Heavy Industries,Capital Goods,South Korea,33889.0,451.8,40776.0,11047.0
2018,1182,Hyundai Heavy Industries,Capital Goods,South Korea,12334.0,-554.3,28405.0,8272.0
