Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,42,ICBC,Banking,China,37480.0,6310,961650.0,289570.0
2009,12,ICBC,Banking,China,53600.0,11160,1188080.0,170830.0
2010,5,ICBC,Banking,China,71860.0,16270,1428460.0,242230.0
2011,7,ICBC,Banking,China,69193.0,18843.9,1723500.0,239490.0
2012,5,ICBC,Banking,China,82591.0,25057.5,2039078.0,237401.0
2013,1,ICBC,Banking,China,134774.0,37805.0,2813507.0,237264.0
2014,1,ICBC,Banking,China,148656.0,42723.3,3124887.0,215625.0
2015,1,ICBC,Banking,China,166796.0,44757.2,3322043.0,278327.0
2016,1,ICBC,Banking,China,171077.0,44160.3,3420257.0,198042.0
2017,1,ICBC,Banking,China,151381.0,41983.7,3473238.0,229805.0
2018,1,ICBC,Banking,China,165338.0,43669.4,4210927.0,311014.0
2019,1,ICBC,Banking,China,175874.0,45223.0,4034482.0,305057.0
2020,1,ICBC,Banking,China,177230.0,45283.6,4322528.0,242283.0
2021,1,ICBC,Banking,China,190467.0,45768.7,4914670.0,249532.0
2022,2,ICBC,Banking,China,208127.0,54028.3,5518508.0,214425.0
