Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1321,IHI,Capital Goods,Japan,10510.0,130,12820.0,2930.0
2009,1125,IHI,Capital Goods,Japan,13530.0,250,15140.0,1240.0
2010,1283,IHI,Capital Goods,Japan,14260.0,-80,14580.0,2580.0
2011,1337,IHI,Capital Goods,Japan,13297.0,185.9,14664.0,3639.0
2012,1153,IHI,Capital Goods,Japan,14283.0,358.1,15871.0,3725.0
2013,1225,IHI,Capital Goods,Japan,14760.0,287.8,15738.0,4539.0
2014,1047,IHI,Capital Goods,Japan,12901.0,478.5,14180.0,6211.0
2015,1378,IHI,Capital Goods,Japan,13288.0,271.2,13935.0,6829.0
2016,1485,IHI,Capital Goods,Japan,12720.0,-430.3,14847.0,3600.0
2017,1488,IHI,Capital Goods,Japan,13983.0,245.2,14729.0,5116.0
2018,1542,IHI,Capital Goods,Japan,14349.0,74.8,15361.0,5595.0
2019,1574,IHI,Capital Goods,Japan,13638.0,295.0,15651.0,3643.0
2020,1710,IHI,Capital Goods,Japan,12460.0,36.3,15671.0,1877.0
2021,1824,IHI,Capital Goods,Japan,11532.0,28.2,16602.0,2989.0
