Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1159,ITC,"Food, Drink & Tobacco",India,2980.0,640,3570.0,19010.0
2009,987,ITC,"Food, Drink & Tobacco",India,3650.0,790,4430.0,13480.0
2010,1023,ITC,"Food, Drink & Tobacco",India,3180.0,650,3970.0,19000.0
2011,918,ITC,"Food, Drink & Tobacco",India,4267.0,929.9,5301.0,29166.0
2012,880,ITC,"Food, Drink & Tobacco",India,5000.0,1126.5,5907.0,33571.0
2013,841,ITC,"Food, Drink & Tobacco",India,5220.0,1230.3,5901.0,44101.0
2014,830,ITC,"Food, Drink & Tobacco",India,5755.0,1397.9,6598.0,46929.0
2015,839,ITC,"Food, Drink & Tobacco",India,5789.0,1471.2,6920.0,43972.0
2016,781,ITC,"Food, Drink & Tobacco",India,6286.0,1580.4,7424.0,39392.0
2017,797,ITC,"Food, Drink & Tobacco",India,5967.0,1513.9,7821.0,51595.0
2018,772,ITC,"Food, Drink & Tobacco",India,8737.0,1534.4,8615.0,51489.0
2019,806,ITC,"Food, Drink & Tobacco",India,6725.0,1748.0,9857.0,53802.0
2020,907,ITC,"Food, Drink & Tobacco",India,5514.0,1625.8,10117.0,29816.0
2021,833,ITC,"Food, Drink & Tobacco",India,6302.0,1789.2,9948.0,34428.0
2022,845,ITC,"Food, Drink & Tobacco",India,7906.0,2002.1,10038.0,42060.0
