Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,889,Idemitsu Kosan,Oil & Gas Operations,Japan,28890.0,350,19670.0,3320.0
2009,838,Idemitsu Kosan,Oil & Gas Operations,Japan,38720.0,50,24000.0,3090.0
2010,1018,Idemitsu Kosan,Oil & Gas Operations,Japan,39010.0,30,22830.0,2930.0
2011,1003,Idemitsu Kosan,Oil & Gas Operations,Japan,33302.0,64.0,26060.0,4487.0
2012,696,Idemitsu Kosan,Oil & Gas Operations,Japan,44021.0,730.0,30135.0,4175.0
2013,685,Idemitsu Kosan,Oil & Gas Operations,Japan,52069.0,777.7,32379.0,3545.0
2014,708,Idemitsu Kosan,Oil & Gas Operations,Japan,49948.0,783.6,29127.0,3214.0
2015,1070,Idemitsu Kosan,Oil & Gas Operations,Japan,46803.0,-595.5,24949.0,2820.0
2016,1160,Idemitsu Kosan,Oil & Gas Operations,Japan,31786.0,-894.8,21612.0,3396.0
2017,963,Idemitsu Kosan,Oil & Gas Operations,Japan,27924.0,474.9,22497.0,5576.0
2018,711,Idemitsu Kosan,Oil & Gas Operations,Japan,32050.0,1539.5,25790.0,7653.0
2019,638,Idemitsu Kosan,Oil & Gas Operations,Japan,39898.0,1078.0,27897.0,9221.0
2020,818,Idemitsu Kosan,Oil & Gas Operations,Japan,51790.0,409.1,37967.0,6823.0
2021,1060,Idemitsu Kosan,Oil & Gas Operations,Japan,43988.0,-893.3,37495.0,7352.0
2022,639,Idemitsu Kosan,Oil & Gas Operations,Japan,54540.0,2205.9,38990.0,7973.0
