Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,470,Imperial Tobacco Group,"Food, Drink & Tobacco",United Kingdom,6690.0,1850,18280.0,31540.0
2009,270,Imperial Tobacco Group,"Food, Drink & Tobacco",United Kingdom,18000.0,760,51380.0,24330.0
2010,194,Imperial Tobacco Group,"Food, Drink & Tobacco",United Kingdom,23600.0,1060,50820.0,31940.0
2011,204,Imperial Tobacco Group,"Food, Drink & Tobacco",United Kingdom,23613.0,2366.4,48007.0,32210.0
2012,201,Imperial Tobacco Group,"Food, Drink & Tobacco",United Kingdom,23654.0,2797.5,47458.0,40475.0
2013,296,Imperial Tobacco Group,"Food, Drink & Tobacco",United Kingdom,23703.0,1095.3,44402.0,35188.0
2014,283,Imperial Tobacco Group,"Food, Drink & Tobacco",United Kingdom,22758.0,1461.8,46020.0,38756.0
2015,259,Imperial Tobacco Group,"Food, Drink & Tobacco",United Kingdom,22684.0,2355.0,42164.0,44782.0
2016,194,Imperial Tobacco Group,"Food, Drink & Tobacco",United Kingdom,39054.0,2611.4,45645.0,49347.0
2017,295,Imperial Tobacco Group,"Food, Drink & Tobacco",United Kingdom,39217.0,895.5,42515.0,46494.0
2018,361,Imperial Tobacco Group,"Food, Drink & Tobacco",United Kingdom,20085.0,1623.3,42470.0,35746.0
