Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1390,Inchcape,Retailing,United Kingdom,12020.0,350,5190.0,3590.0
2009,1384,Inchcape,Retailing,United Kingdom,12020.0,350,5210.0,290.0
2010,1940,Inchcape,Retailing,United Kingdom,9140.0,80,5020.0,1720.0
2011,1928,Inchcape,Retailing,United Kingdom,9182.0,207.5,4807.0,2755.0
2013,1843,Inchcape,Retailing,United Kingdom,9646.0,292.5,5491.0,3589.0
2014,1811,Inchcape,Retailing,United Kingdom,10199.0,303.5,5609.0,5069.0
2015,1891,Inchcape,Retailing,United Kingdom,11036.0,295.7,5096.0,5430.0
2016,1907,Inchcape,Retailing,United Kingdom,10445.0,268.6,5053.0,4230.0
2017,1988,Inchcape,Retailing,United Kingdom,10576.0,248.8,5414.0,4359.0
2018,1903,Inchcape,Retailing,United Kingdom,11525.0,346.3,6596.0,4204.0
2019,1969,Inchcape,Retailing,United Kingdom,12370.0,64.0,6032.0,3429.0
2020,1764,Inchcape,Retailing,United Kingdom,11966.0,411.9,5912.0,2482.0
