Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2012,243,Industrial Bank,Banking,China,11588.0,2810.0,280329.0,23389.0
2013,142,Industrial Bank,Banking,China,18741.0,4052.2,382338.0,38239.0
2014,129,Industrial Bank,Banking,China,32729.0,6705.0,593540.0,28792.0
2015,73,Industrial Bank,Banking,China,39426.0,7550.0,650798.0,57893.0
2016,59,Industrial Bank,Banking,China,45031.0,8043.1,832046.0,47330.0
2017,63,Industrial Bank,Banking,China,44297.0,8106.4,872100.0,45126.0
2018,62,Industrial Bank,Banking,China,47951.0,8756.2,1023094.0,53522.0
2019,55,Industrial Bank,Banking,China,49736.0,9274.0,950968.0,62369.0
2020,57,Industrial Bank,Banking,China,50180.0,9161.2,1044976.0,48959.0
2021,50,Industrial Bank,Banking,China,53806.0,9652.8,1207231.0,66531.0
2022,55,Industrial Bank,Banking,China,60533.0,12819.9,1350320.0,68592.0
