Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1075,Infineon Technologies,Semiconductors,Germany,10940.0,-520,14370.0,6100.0
2009,1766,Infineon Technologies,Semiconductors,Germany,6080.0,-4390,9380.0,450.0
2010,1804,Infineon Technologies,Semiconductors,Germany,4430.0,-910,6150.0,5980.0
2011,1058,Infineon Technologies,Semiconductors,Germany,4489.0,897.8,6396.0,11017.0
2012,981,Infineon Technologies,Semiconductors,Germany,5351.0,1498.0,7528.0,10875.0
2013,1334,Infineon Technologies,Semiconductors,Germany,5018.0,548.8,7183.0,9272.0
2014,1316,Infineon Technologies,Semiconductors,Germany,5280.0,450.1,8073.0,13651.0
2015,1125,Infineon Technologies,Semiconductors,Germany,5921.0,774.6,7495.0,13879.0
2016,969,Infineon Technologies,Semiconductors,Germany,6901.0,726.3,9506.0,15799.0
2017,906,Infineon Technologies,Semiconductors,Germany,7260.0,831.9,10109.0,22545.0
2018,842,Infineon Technologies,Semiconductors,Germany,8486.0,1275.0,,32351.0
2019,780,Infineon Technologies,Semiconductors,Germany,9195.0,1325.0,12722.0,27317.0
2020,763,Infineon Technologies,Semiconductors,Germany,8927.0,924.5,16408.0,23112.0
2021,669,Infineon Technologies,Semiconductors,Germany,10580.0,473.1,26219.0,55298.0
2022,571,Infineon Technologies,Semiconductors,Germany,13697.0,1618.1,27291.0,39145.0
