Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2012,1815,Inner Mongolia Baotou Steel,Diversified Metals & Mining,China,6802.0,78.8,7898.0,5801.0
2013,1906,Inner Mongolia Baotou Steel,Diversified Metals & Mining,China,6802.0,78.8,7898.0,6400.0
2014,1838,Inner Mongolia Baotou Steel,Diversified Metals & Mining,China,6109.0,40.8,14907.0,5209.0
2015,1344,Inner Mongolia Baotou Steel,Diversified Metals & Mining,China,5030.0,22.7,16416.0,15568.0
2016,1321,Inner Mongolia Baotou Steel,Diversified Metals & Mining,China,3553.0,-526.1,22319.0,15796.0
2017,1409,Inner Mongolia Baotou Steel,Diversified Metals & Mining,Mongolia,3812.0,-267.2,21142.0,14631.0
2018,1058,Inner Mongolia Baotou Steel,Diversified Metals & Mining,China,8417.0,377.3,23286.0,14537.0
2019,1015,Inner Mongolia Baotou Steel,Materials,China,10205.0,452.0,21501.0,12510.0
2020,1159,Inner Mongolia Baotou Steel,Materials,China,10090.0,502.3,20087.0,6981.0
2021,1533,Inner Mongolia Baotou Steel,Materials,China,8443.0,-50.5,21044.0,10972.0
2022,1216,Inner Mongolia Baotou Steel,Materials,China,13211.0,444.5,23217.0,14124.0
