Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2009,366,Inpex,Oil & Gas Operations,Japan,12050.0,1740,17960.0,16340.0
2010,394,Inpex,Oil & Gas Operations,Japan,11050.0,1490,17640.0,17200.0
2011,469,Inpex,Oil & Gas Operations,Japan,8993.0,1147.2,21289.0,24008.0
2012,393,Inpex,Oil & Gas Operations,Japan,11345.0,1548.2,32012.0,25189.0
2013,342,Inpex,Oil & Gas Operations,Japan,14336.0,2343.5,36890.0,20577.0
2014,411,Inpex,Oil & Gas Operations,Japan,13574.0,1564.5,37697.0,19105.0
2015,493,Inpex,Oil & Gas Operations,Japan,11944.0,1685.5,37202.0,16298.0
2016,802,Inpex,Oil & Gas Operations,Japan,8704.0,359.2,38331.0,12258.0
2017,978,Inpex,Oil & Gas Operations,Japan,7583.0,-25.3,37478.0,14856.0
2018,916,Inpex,Oil & Gas Operations,Japan,8424.0,364.2,40015.0,18479.0
2019,892,Inpex,Oil & Gas Operations,Japan,8426.0,449.0,43945.0,13801.0
2020,597,Inpex,Oil & Gas Operations,Japan,12231.0,1511.2,44628.0,9437.0
2021,1352,Inpex,Oil & Gas Operations,Japan,7222.0,-1046.2,44889.0,10413.0
2022,635,Inpex,Oil & Gas Operations,Japan,11325.0,2030.0,44794.0,17107.0
