Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,734,Isuzu Motors,Consumer Durables,Japan,14150.0,790,10420.0,7960.0
2009,853,Isuzu Motors,Consumer Durables,Japan,19290.0,760,12410.0,1680.0
2010,1231,Isuzu Motors,Consumer Durables,Japan,14630.0,-280,10320.0,4290.0
2011,1154,Isuzu Motors,Consumer Durables,Japan,11566.0,89.9,11780.0,7186.0
2012,721,Isuzu Motors,Consumer Durables,Japan,17029.0,620.7,13307.0,9555.0
2013,621,Isuzu Motors,Consumer Durables,Japan,16913.0,1102.4,14565.0,10547.0
2014,670,Isuzu Motors,Consumer Durables,Japan,18049.0,1242.4,13533.0,9732.0
2015,711,Isuzu Motors,Consumer Durables,Japan,17173.0,1060.7,14549.0,11272.0
2016,716,Isuzu Motors,Consumer Durables,Japan,16079.0,943.7,14500.0,9822.0
2017,711,Isuzu Motors,Consumer Durables,Japan,17442.0,956.8,15118.0,10785.0
2018,773,Isuzu Motors,Consumer Durables,Japan,18445.0,970.0,17841.0,12043.0
2019,747,Isuzu Motors,Consumer Durables,Japan,19549.0,1048.0,18581.0,10464.0
2020,943,Isuzu Motors,Consumer Durables,Japan,19072.0,797.2,19604.0,5689.0
2021,1195,Isuzu Motors,Consumer Durables,Japan,17513.0,396.3,20466.0,7063.0
2022,888,Isuzu Motors,Consumer Durables,Japan,21696.0,1082.2,23599.0,9304.0
