Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2012,30,Itau Unibanco Holding,Banking,Brazil,75546.0,7427.3,426426.0,91176.0
2013,42,Itau Unibanco Holding,Banking,Brazil,70538.0,6166.0,453613.0,81972.0
2014,46,Itau Unibanco Holding,Banking,Brazil,67157.0,7605.8,435434.0,74873.0
2015,42,Itau Unibanco Holding,Banking,Brazil,76571.0,9157.3,424047.0,63727.0
2016,63,Itau Unibanco Holding,Banking,Brazil,50919.0,7705.9,324076.0,50476.0
2017,38,Itau Unibanco Holding,Banking,Brazil,61283.0,6673.6,419923.0,79208.0
2018,45,Itau Unibanco Holding,Banking,Brazil,62310.0,7548.0,437600.0,87033.0
2019,58,Itau Unibanco Holding,Banking,Brazil,53781.0,6751.0,383203.0,80779.0
2020,78,Itau Unibanco Holding,Banking,Brazil,51970.0,6873.2,408756.0,40993.0
2021,109,Itau Unibanco Holding,Banking,Brazil,37248.0,3663.3,389721.0,48539.0
2022,138,Itau Unibanco Holding,Banking,Brazil,35958.0,4959.1,372297.0,52889.0
