Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,175,Itausa,Banking,Brazil,28970.0,2050,167060.0,28220.0
2009,163,Itausa,Banking,Brazil,39410.0,1160,265220.0,13560.0
2010,82,Itausa,Conglomerates,Brazil,66360.0,2250,342630.0,28740.0
2011,122,Itausa,Conglomerates,Brazil,66361.0,2254.6,342630.0,30598.0
2012,154,Itausa,Conglomerates,Brazil,29750.0,2596.4,162443.0,32296.0
2013,173,Itausa,Conglomerates,Brazil,27848.0,2215.2,172368.0,25444.0
2014,755,Itausa,Conglomerates,Brazil,2625.0,2638.7,17772.0,22754.0
2015,776,Itausa,Conglomerates,Brazil,2133.0,3360.9,18281.0,21249.0
2016,882,Itausa,Conglomerates,Brazil,1462.0,2654.8,13859.0,15579.0
2017,791,Itausa,Conglomerates,Brazil,1345.0,2355.6,18134.0,22961.0
2018,818,Itausa,Conglomerates,Brazil,1556.0,2632.0,19770.0,26770.0
2019,859,Itausa,Conglomerates,Brazil,1584.0,2634.0,16312.0,24684.0
2020,935,Itausa,Conglomerates,Brazil,1270.0,2614.1,16774.0,13984.0
2021,1218,Itausa,Conglomerates,Brazil,1140.0,1367.9,13977.0,15411.0
2022,1142,Itausa,Conglomerates,Brazil,1514.0,2260.9,15436.0,18420.0
