Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1533,Jabil Circuit,Technology Hardware & Equipment,United States,12430.0,90,6730.0,2710.0
2009,1616,Jabil Circuit,Technology Hardware & Equipment,United States,12790.0,-200,6780.0,890.0
2010,1775,Jabil Circuit,Technology Hardware & Equipment,United States,11390.0,-860,5620.0,3380.0
2011,1523,Jabil Circuit,Consumer Durables,United States,14403.0,247.2,6384.0,4462.0
2012,1231,Jabil Circuit,Consumer Durables,United States,16763.0,387.3,7199.0,5619.0
2013,1392,Jabil Circuit,Consumer Durables,United States,17643.0,378.0,8248.0,3891.0
2014,1727,Jabil Circuit,Consumer Durables,United States,17474.0,256.4,8128.0,3735.0
2015,1709,Jabil Circuit,Consumer Durables,United States,16701.0,286.2,8578.0,4500.0
2016,1359,Jabil Circuit,Consumer Durables,United States,18651.0,369.0,9898.0,3434.0
2017,1637,Jabil Circuit,Consumer Durables,United States,18292.0,152.0,10015.0,5235.0
2018,1614,Jabil Circuit,Consumer Durables,United States,20399.0,121.5,11488.0,4730.0
2019,1541,Jabil Circuit,Technology Hardware & Equipment,United States,23782.0,176.0,12477.0,4761.0
2020,1571,Jabil Circuit,Technology Hardware & Equipment,United States,26340.0,133.3,13140.0,4286.0
2021,1338,Jabil Circuit,Technology Hardware & Equipment,United States,28297.0,368.9,14494.0,8101.0
2022,1128,Jabil Circuit,Technology Hardware & Equipment,United States,30744.0,807.5,17430.0,8114.0
