Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1748,Jaccs,Diversified Financials,Japan,1320.0,20,24110.0,630.0
2009,1760,Jaccs,Diversified Financials,Japan,1400.0,-100,28020.0,300.0
2010,1761,Jaccs,Diversified Financials,Japan,1440.0,30,30570.0,380.0
2011,1790,Jaccs,Diversified Financials,Japan,1362.0,38.2,30229.0,561.0
2012,1807,Jaccs,Diversified Financials,Japan,1398.0,52.9,33578.0,628.0
2013,1858,Jaccs,Diversified Financials,Japan,1297.0,82.4,33082.0,856.0
2014,1973,Jaccs,Diversified Financials,Japan,1054.0,62.6,27173.0,711.0
2016,1983,Jaccs,Diversified Financials,Japan,927.0,55.8,27983.0,678.0
2017,1932,Jaccs,Diversified Financials,Japan,1088.0,83.5,31079.0,703.0
2018,1894,Jaccs,Diversified Financials,Japan,1158.0,73.5,36049.0,785.0
2019,1842,Jaccs,Business Services & Supplies,Japan,1295.0,70.0,42770.0,555.0
