Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1116,Jacobs Engineering,Construction,United States,8930.0,320,3670.0,9740.0
2009,969,Jacobs Engineering,Construction,United States,12010.0,440,4300.0,4150.0
2010,1094,Jacobs Engineering,Construction,United States,10710.0,360,4680.0,4910.0
2011,1446,Jacobs Engineering,Construction,United States,9794.0,239.4,4907.0,6203.0
2012,1352,Jacobs Engineering,Construction,United States,10657.0,354.9,6126.0,6025.0
2013,1263,Jacobs Engineering,Construction,United States,11022.0,388.2,6937.0,7001.0
2014,1195,Jacobs Engineering,Construction,United States,12128.0,417.8,8441.0,8414.0
2015,1650,Jacobs Engineering,Construction,United States,12813.0,334.5,8243.0,5806.0
2016,1837,Jacobs Engineering,Construction,United States,11776.0,249.4,7616.0,5363.0
2017,1775,Jacobs Engineering,Construction,United States,10668.0,223.8,7110.0,6600.0
2018,1499,Jacobs Engineering,Construction,United States,11854.0,231.9,12602.0,9011.0
2019,1297,Jacobs Engineering,Construction,United States,15318.0,299.0,12945.0,10733.0
2022,1304,Jacobs Engineering,Telecommunications Services,United States,14066.0,281.1,14804.0,18375.0
