Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1532,Japan Securities,Diversified Financials,Japan,370.0,40,63130.0,750.0
2009,1572,Japan Securities,Diversified Financials,Japan,510.0,-10,51130.0,300.0
2010,1609,Japan Securities,Diversified Financials,Japan,450.0,-80,53590.0,660.0
2011,1618,Japan Securities,Diversified Financials,Japan,298.0,38.2,58643.0,655.0
2012,1567,Japan Securities,Diversified Financials,Japan,275.0,42.0,85402.0,588.0
2013,1672,Japan Securities,Diversified Financials,Japan,244.0,9.4,59922.0,707.0
2014,1850,Japan Securities,Diversified Financials,Japan,191.0,65.0,35115.0,616.0
2015,1929,Japan Securities,Diversified Financials,Japan,193.0,34.9,29717.0,616.0
2016,1925,Japan Securities,Diversified Financials,Japan,184.0,23.7,30940.0,411.0
2017,1853,Japan Securities,Diversified Financials,Japan,212.0,28.5,35553.0,514.0
2018,1805,Japan Securities,Diversified Financials,Japan,240.0,35.7,43736.0,593.0
2019,1823,Japan Securities,Diversified Financials,Japan,233.0,34.0,44629.0,481.0
2020,1645,Japan Securities,Diversified Financials,Japan,267.0,32.7,90913.0,438.0
2021,1693,Japan Securities,Diversified Financials,Japan,280.0,35.6,98412.0,675.0
2022,1630,Japan Securities,Diversified Financials,Japan,274.0,43.2,116816.0,655.0
