Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,397,Jardine Matheson,Food Markets,Hong Kong/China,16260.0,1350,20260.0,17290.0
2009,402,Jardine Matheson,Food Markets,Hong Kong/China,22450.0,670,22000.0,10810.0
2010,225,Jardine Matheson,Conglomerates,Hong Kong/China,22500.0,1600,39130.0,18250.0
2011,177,Jardine Matheson,Conglomerates,Hong Kong-China,30053.0,3084.0,48076.0,33685.0
2012,170,Jardine Matheson,Conglomerates,Hong Kong-China,37967.0,3449.0,58297.0,33910.0
2013,185,Jardine Matheson,Conglomerates,Hong Kong-China,39593.0,1688.0,63460.0,43252.0
2014,208,Jardine Matheson,Conglomerates,Hong Kong,39465.0,1566.0,63835.0,43364.0
2015,211,Jardine Matheson,Conglomerates,Hong Kong,39921.0,1710.0,66457.0,43176.0
2016,199,Jardine Matheson,Conglomerates,Hong Kong,37007.0,1797.0,66955.0,42142.0
2017,169,Jardine Matheson,Conglomerates,Hong Kong,37051.0,2503.0,71523.0,47648.0
2018,177,Jardine Matheson,Conglomerates,Hong Kong,39456.0,3785.0,82814.0,44229.0
2019,303,Jardine Matheson,Conglomerates,Bermuda,42527.0,1732.0,86258.0,20223.0
2020,287,Jardine Matheson,Conglomerates,Bermuda,40922.0,2838.0,97028.0,13437.0
2021,640,Jardine Matheson,Conglomerates,Bermuda,32647.0,-394.0,93526.0,19034.0
2022,403,Jardine Matheson,Conglomerates,Bermuda,35862.0,1881.0,91489.0,15891.0
