Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1965,Jeronimo Martins,Food Markets,Portugal,5810.0,150,3340.0,4660.0
2009,1656,Jeronimo Martins,Food Markets,Portugal,7810.0,190,4460.0,2580.0
2010,1185,Jeronimo Martins,Food Markets,Portugal,9600.0,230,5090.0,6160.0
2011,1024,Jeronimo Martins,Food Markets,Portugal,11635.0,376.2,5489.0,9754.0
2012,980,Jeronimo Martins,Food Markets,Portugal,12744.0,440.8,5742.0,11882.0
2013,940,Jeronimo Martins,Food Markets,Portugal,13985.0,462.9,5862.0,12850.0
2014,978,Jeronimo Martins,Food Markets,Portugal,15705.0,507.5,7026.0,10593.0
2015,1229,Jeronimo Martins,Food Markets,Portugal,16820.0,400.2,6259.0,8357.0
2016,1089,Jeronimo Martins,Food Markets,Portugal,15223.0,369.6,5793.0,10158.0
2017,940,Jeronimo Martins,Food Markets,Portugal,16175.0,656.2,5997.0,11242.0
2018,1158,Jeronimo Martins,Food Markets,Portugal,19630.0,459.0,7735.0,10252.0
2019,1167,Jeronimo Martins,Food Markets,Portugal,20453.0,473.0,7613.0,9927.0
2020,1086,Jeronimo Martins,Food Markets,Portugal,20861.0,436.4,10946.0,10625.0
2021,1297,Jeronimo Martins,Food Markets,Portugal,21994.0,355.8,11536.0,10795.0
2022,1228,Jeronimo Martins,Food Markets,Portugal,24690.0,547.1,11790.0,13698.0
