Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1630,Juroku Bank,Banking,Japan,940.0,120,35610.0,1910.0
2009,1613,Juroku Bank,Banking,Japan,1260.0,100,41520.0,1190.0
2010,1658,Juroku Bank,Banking,Japan,1160.0,-100,41940.0,1460.0
2011,1662,Juroku Bank,Banking,Japan,1100.0,96.4,46543.0,1197.0
2012,1613,Juroku Bank,Banking,Japan,1321.0,111.8,63879.0,1314.0
2013,1642,Juroku Bank,Banking,Japan,1407.0,144.2,66627.0,1517.0
2014,1672,Juroku Bank,Banking,Japan,1128.0,143.2,54184.0,1321.0
2015,1697,Juroku Bank,Banking,Japan,1065.0,175.5,50545.0,1379.0
2016,1702,Juroku Bank,Banking,Japan,1017.0,183.0,52122.0,1187.0
2017,1681,Juroku Bank,Banking,Japan,1020.0,103.2,54712.0,1171.0
2018,1707,Juroku Bank,Banking,Japan,941.0,62.2,55152.0,975.0
2019,1710,Juroku Bank,Banking,Japan,930.0,82.0,57383.0,772.0
2020,1772,Juroku Bank,Banking,Japan,953.0,108.4,59785.0,663.0
2021,1810,Juroku Bank,Banking,Japan,1037.0,150.8,69831.0,715.0
