Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2009,213,KB Financial Group,Banking,South Korea,17950.0,2920,238110.0,6830.0
2010,363,KB Financial Group,Banking,South Korea,8820.0,490,212400.0,16240.0
2011,398,KB Financial Group,Diversified Financials,South Korea,15308.0,463.0,225119.0,19278.0
2012,256,KB Financial Group,Diversified Financials,South Korea,16102.0,2194.2,239551.0,14893.0
2013,327,KB Financial Group,Diversified Financials,South Korea,15620.0,1512.5,265106.0,13221.0
2014,370,KB Financial Group,Diversified Financials,South Korea,15764.0,1151.4,276532.0,13704.0
2015,367,KB Financial Group,Banking,South Korea,15567.0,1330.7,280540.0,13659.0
2016,351,KB Financial Group,Banking,South Korea,13846.0,1416.4,282030.0,12133.0
2017,302,KB Financial Group,Banking,South Korea,13460.0,1847.8,311991.0,17912.0
2018,219,KB Financial Group,Banking,South Korea,29004.0,3068.8,409235.0,21718.0
2019,276,KB Financial Group,Banking,South Korea,27421.0,2782.0,431212.0,15916.0
2020,278,KB Financial Group,Banking,South Korea,37336.0,2703.8,449868.0,11112.0
2021,229,KB Financial Group,Banking,South Korea,30784.0,2909.0,564394.0,18394.0
2022,257,KB Financial Group,Banking,South Korea,33856.0,3788.1,560376.0,19290.0
