Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,952,Kajima,Construction,Japan,16100.0,350,17890.0,3210.0
2009,802,Kajima,Construction,Japan,18980.0,420,19120.0,2230.0
2010,1129,Kajima,Construction,Japan,20010.0,-60,18730.0,2450.0
2011,1211,Kajima,Construction,Japan,17520.0,141.5,18976.0,2693.0
2012,1115,Kajima,Construction,Japan,15948.0,310.9,19460.0,3257.0
2013,1249,Kajima,Construction,Japan,17610.0,46.3,20226.0,2884.0
2014,1358,Kajima,Construction,Japan,15323.0,209.8,17440.0,3800.0
2015,1401,Kajima,Construction,Japan,15632.0,286.5,14916.0,4843.0
2016,1087,Kajima,Construction,Japan,14412.0,333.5,15231.0,6781.0
2017,881,Kajima,Construction,Japan,16145.0,875.3,15749.0,6882.0
2018,820,Kajima,Construction,Japan,17087.0,1162.5,16884.0,9983.0
2019,903,Kajima,Construction,Japan,17243.0,1012.0,17733.0,7300.0
2020,931,Kajima,Construction,Japan,18406.0,891.2,20183.0,5417.0
2021,875,Kajima,Construction,Japan,18378.0,1034.3,20252.0,7217.0
2022,1170,Kajima,Construction,Japan,18210.0,941.5,19618.0,5639.0
