Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2011,779,Kinder Morgan,Oil & Gas Operations,United States,8191.0,-41.3,28908.0,24365.0
2012,557,Kinder Morgan,Oil & Gas Operations,United States,8265.0,594.4,30717.0,29603.0
2013,476,Kinder Morgan,Oil & Gas Operations,United States,9973.0,444.0,68520.0,41233.0
2014,323,Kinder Morgan,Oil & Gas Operations,United States,14091.0,1192.0,75185.0,33889.0
2015,287,Kinder Morgan,Oil & Gas Operations,United States,16236.0,1021.0,83198.0,90429.0
2016,594,Kinder Morgan,Oil & Gas Operations,United States,13769.0,213.0,84229.0,40436.0
2017,357,Kinder Morgan,Oil & Gas Operations,United States,12932.0,704.0,80305.0,48131.0
2018,679,Kinder Morgan,Oil & Gas Operations,United States,13707.0,261.0,79011.0,36422.0
2019,335,Kinder Morgan,Oil & Gas Operations,United States,14244.0,1632.0,76292.0,43891.0
2020,350,Kinder Morgan,Oil & Gas Operations,United States,12751.0,1316.0,73530.0,34442.0
2021,701,Kinder Morgan,Oil & Gas Operations,United States,11473.0,106.0,73506.0,37456.0
2022,468,Kinder Morgan,Oil & Gas Operations,United States,16605.0,1027.0,69135.0,43422.0
