Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,712,Kingfisher,Retailing,United Kingdom,17010.0,660,16840.0,6160.0
2009,597,Kingfisher,Retailing,United Kingdom,18620.0,540,18640.0,4260.0
2010,691,Kingfisher,Retailing,United Kingdom,14530.0,300,14710.0,7720.0
2011,646,Kingfisher,Retailing,United Kingdom,16805.0,620.8,15734.0,9085.0
2012,615,Kingfisher,Retailing,United Kingdom,16747.0,791.7,15338.0,11338.0
2013,643,Kingfisher,Retailing,United Kingdom,16800.0,896.0,15568.0,10270.0
2014,569,Kingfisher,Retailing,United Kingdom,17435.0,1111.1,16139.0,17002.0
2015,670,Kingfisher,Retailing,United Kingdom,17435.0,1111.1,14588.0,12692.0
2016,758,Kingfisher,Retailing,United Kingdom,15886.0,626.8,13751.0,11964.0
2017,878,Kingfisher,Retailing,United Kingdom,14962.0,813.1,12874.0,8960.0
2018,1044,Kingfisher,Retailing,United Kingdom,15151.0,630.5,14714.0,8658.0
2019,1504,Kingfisher,Retailing,United Kingdom,15489.0,289.0,13154.0,7259.0
2020,1642,Kingfisher,Retailing,United Kingdom,14943.0,233.1,15154.0,4187.0
2021,930,Kingfisher,Retailing,United Kingdom,15876.0,761.4,16848.0,10327.0
2022,1160,Kingfisher,Retailing,United Kingdom,18122.0,1158.8,16572.0,6767.0
