Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,396,Komatsu,Capital Goods,Japan,16110.0,1400,15520.0,26080.0
2009,299,Komatsu,Capital Goods,Japan,22480.0,2090,20980.0,10110.0
2010,351,Komatsu,Capital Goods,Japan,20760.0,810,19570.0,19360.0
2011,558,Komatsu,Capital Goods,Japan,15318.0,359.1,20576.0,30527.0
2012,316,Komatsu,Capital Goods,Japan,22173.0,1813.6,25748.0,27839.0
2013,331,Komatsu,Capital Goods,Japan,23940.0,2017.9,27715.0,22161.0
2014,410,Komatsu,Capital Goods,Japan,19708.0,1542.3,25892.0,19667.0
2015,454,Komatsu,Capital Goods,Japan,18902.0,1518.1,24195.0,19688.0
2016,493,Komatsu,Capital Goods,Japan,15798.0,1166.6,22198.0,17755.0
2017,509,Komatsu,Capital Goods,Japan,15748.0,938.9,22957.0,24277.0
2018,393,Komatsu,Capital Goods,Japan,22567.0,1772.1,31712.0,31074.0
2019,394,Komatsu,Capital Goods,Japan,24573.0,2042.0,31986.0,23746.0
2020,405,Komatsu,Capital Goods,Japan,23238.0,1903.3,34315.0,18215.0
2021,471,Komatsu,Capital Goods,Japan,19928.0,791.3,34801.0,29278.0
2022,496,Komatsu,Capital Goods,Japan,24510.0,1779.9,34974.0,22060.0
