Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,323,Kroger,Food Markets,United States,69860.0,1240,21900.0,16380.0
2009,260,Kroger,Food Markets,United States,75980.0,1220,23180.0,13490.0
2010,602,Kroger,Food Markets,United States,76730.0,70,23090.0,14560.0
2011,351,Kroger,Food Markets,United States,82189.0,1116.3,23505.0,15206.0
2012,462,Kroger,Food Markets,United States,90374.0,602.1,23475.0,13679.0
2013,336,Kroger,Food Markets,United States,96751.0,1496.5,24652.0,16253.0
2014,309,Kroger,Food Markets,United States,98492.0,1511.0,29314.0,22159.0
2015,261,Kroger,Food Markets,United States,108465.0,1715.0,30556.0,37800.0
2016,223,Kroger,Food Markets,United States,109830.0,2027.0,34900.0,34245.0
2017,241,Kroger,Food Markets,United States,115337.0,1943.0,37525.0,27299.0
2018,326,Kroger,Food Markets,United States,122662.0,1890.0,37806.0,20985.0
2019,296,Kroger,Food Markets,United States,121162.0,3076.0,38701.0,20581.0
2020,266,Kroger,Food Markets,United States,122286.0,1655.0,47899.0,25235.0
2021,231,Kroger,Food Markets,United States,132498.0,2585.0,51649.0,28254.0
2022,291,Kroger,Food Markets,United States,137888.0,1640.0,51831.0,41229.0
