Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,756,Kubota,Capital Goods,Japan,9590.0,650,12750.0,8750.0
2009,603,Kubota,Capital Goods,Japan,11570.0,680,14670.0,6190.0
2010,568,Kubota,Capital Goods,Japan,11370.0,490,13860.0,11310.0
2011,728,Kubota,Capital Goods,Japan,9958.0,452.9,15035.0,12311.0
2012,686,Kubota,Capital Goods,Japan,11232.0,659.5,16301.0,12267.0
2013,606,Kubota,Capital Goods,Japan,12177.0,743.5,17990.0,17353.0
2014,539,Kubota,Capital Goods,Japan,14618.0,1229.6,19912.0,16566.0
2015,533,Kubota,Capital Goods,Japan,14808.0,1294.7,20537.0,20511.0
2016,508,Kubota,Capital Goods,Japan,13709.0,1198.1,21057.0,19639.0
2017,526,Kubota,Capital Goods,Japan,14689.0,1219.3,22897.0,18470.0
2018,547,Kubota,Capital Goods,Japan,16036.0,1251.7,25841.0,21132.0
2019,564,Kubota,Capital Goods,Japan,16754.0,1255.0,26393.0,18044.0
2020,529,Kubota,Capital Goods,Japan,17613.0,1367.4,28887.0,15367.0
2021,462,Kubota,Capital Goods,Japan,17357.0,1203.8,30891.0,28607.0
2022,550,Kubota,Capital Goods,Japan,19994.0,1598.5,32769.0,21193.0
