Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2011,460,LG Chem,Chemicals,South Korea,16847.0,1909.2,11260.0,22776.0
2012,441,LG Chem,Chemicals,South Korea,19569.0,1845.0,13241.0,21836.0
2013,482,LG Chem,Chemicals,South Korea,21867.0,1404.8,15434.0,16204.0
2014,547,LG Chem,Chemicals,South Korea,21140.0,1125.6,16531.0,16405.0
2015,649,LG Chem,Chemicals,South Korea,21448.0,804.3,16492.0,13942.0
2016,564,LG Chem,Chemicals,South Korea,17853.0,1018.7,15845.0,17758.0
2017,573,LG Chem,Chemicals,South Korea,17807.0,1126.7,16962.0,17692.0
2018,474,LG Chem,Chemicals,South Korea,22731.0,1720.7,23391.0,24717.0
2019,468,LG Chem,Chemicals,South Korea,25609.0,1338.0,25940.0,24864.0
2020,719,LG Chem,Chemicals,South Korea,24600.0,130.9,30493.0,23673.0
2021,480,LG Chem,Chemicals,South Korea,25819.0,434.5,38101.0,62513.0
2022,333,LG Chem,Chemicals,South Korea,37257.0,3204.6,43016.0,30554.0
