Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1890,Laurentian Bank,Banking,Canada,1160.0,100,18610.0,980.0
2010,1944,Laurentian Bank,Banking,Canada,1090.0,110,20580.0,920.0
2011,1921,Laurentian Bank,Banking,Canada,1202.0,124.4,23324.0,1266.0
2012,1854,Laurentian Bank,Banking,Canada,1278.0,122.8,29836.0,1136.0
2013,1839,Laurentian Bank,Banking,Canada,1457.0,144.0,34288.0,1245.0
2014,1906,Laurentian Bank,Banking,Canada,1416.0,121.4,30164.0,1225.0
2015,1938,Laurentian Bank,Banking,Canada,1387.0,126.3,29524.0,1100.0
2016,1972,Laurentian Bank,Banking,Canada,1132.0,84.3,28614.0,1217.0
2017,1896,Laurentian Bank,Banking,Canada,1153.0,119.7,33070.0,1487.0
2018,1858,Laurentian Bank,Banking,Canada,1295.0,168.6,38655.0,1619.0
