Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1444,Lennar,Construction,United States,10190.0,-1940,9100.0,2980.0
2013,1252,Lennar,Construction,United States,4370.0,722.0,10362.0,7740.0
2014,1216,Lennar,Construction,United States,6308.0,494.2,11273.0,8258.0
2015,984,Lennar,Construction,United States,8061.0,668.9,12958.0,10347.0
2016,826,Lennar,Construction,United States,9820.0,825.1,14195.0,10162.0
2017,768,Lennar,Construction,United States,11289.0,890.9,15362.0,11884.0
2018,655,Lennar,Construction,United States,13296.0,899.8,27944.0,17681.0
2019,496,Lennar,Construction,United States,21446.0,1784.0,28750.0,17099.0
2020,454,Lennar,Construction,United States,22894.0,1988.9,29174.0,15634.0
2021,332,Lennar,Construction,United States,23288.0,3031.7,30552.0,33181.0
2022,423,Lennar,Construction,United States,28423.0,3886.8,32635.0,22747.0
